"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\VehicleReviews.css", "CSS", 0, 0, 77, 0, 0, 5, 12, 94
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\VehicleReviews.js", "JavaScript", 0, 161, 0, 0, 0, 0, 22, 183
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\VehiclesList.css", "CSS", 0, 0, 46, 0, 0, 0, 10, 56
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\VehiclesList.js", "JavaScript", 0, 119, 0, 0, 0, 2, 18, 139
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\ForgotPassword.css", "CSS", 0, 0, 108, 0, 0, 0, 16, 124
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\ForgotPassword.js", "JavaScript", 0, 65, 0, 0, 0, 0, 14, 79
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\LoginSignup.css", "CSS", 0, 0, 313, 0, 0, 20, 49, 382
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\LoginSignup.js", "JavaScript", 0, 244, 0, 0, 0, 139, 26, 409
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\Profile.css", "CSS", 0, 0, 135, 0, 0, 12, 22, 169
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\Profile.js", "JavaScript", 0, 103, 0, 0, 0, 0, 5, 108
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\ResetPassword.css", "CSS", 0, 0, 94, 0, 0, 0, 16, 110
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\ResetPassword.js", "JavaScript", 0, 80, 0, 0, 0, 0, 14, 94
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\UpdatePassword.css", "CSS", 0, 0, 98, 0, 0, 7, 16, 121
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\UpdatePassword.js", "JavaScript", 0, 102, 0, 0, 0, 0, 12, 114
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\UpdateProfile.css", "CSS", 0, 0, 152, 0, 0, 10, 27, 189
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\User\UpdateProfile.js", "JavaScript", 0, 263, 0, 0, 0, 23, 19, 305
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Vehicles\VehicleDetails.css", "CSS", 0, 0, 219, 0, 0, 60, 50, 329
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Vehicles\VehicleDetails.js", "JavaScript", 0, 307, 0, 0, 0, 0, 33, 340
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Vehicles\Vehicles.css", "CSS", 0, 0, 331, 0, 0, 22, 72, 425
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Vehicles\Vehicles.js", "JavaScript", 0, 269, 0, 0, 0, 34, 68, 371
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Contact.css", "CSS", 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Contact.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Footer\Footer.css", "CSS", 0, 0, 48, 0, 0, 0, 2, 50
